Année;Trimestre;Numéro trimestre;Début trimestre;Fin trimestre;Indice fréquentation vélo;Indice fréquentation - Parc des Rives de Seine JO;Indice fréquentation - Parc des Rives de Seine WE-JF;Stationnement - Parcs concédés - Jour;Nombre moyen abonnés - Parcs concédés;Stationnement autocar - Parcs fermés;Volume trafic Paris Intra-Muros;Vitesse moyenne Paris Intra-Muros;Volume trafic Boulevard Périphérique;Vitesse moyenne Boulevard Périphérique;Fréquentation Vélo;Fréquentation VELIB';Fréquentation Métro;Fréquentation RER A et B;Fréquentation Bus à Paris;Fréquentation T3 à Paris;Qualité de service Bus;URL du rapport PDF complet
2012;2012 T1;T1;2012-01-01;2012-03-31;2.03;;;34465;38734;249;941.764705882353;16.0;5737.0;41.5;;;400000000.0;123000000;92200000.0;11270000;95.89999999999999;
2012;2012 T3;T3;2012-07-01;2012-09-30;2.68;;;27212;37665;413;838.235294117647;15.0;5469.0;41.0;;;340600000.0;107800000;74500000.0;7900000;95.19999999999999;
2013;2013 T3;T3;2013-07-01;2013-09-30;2.71;;;26047;36658;399;830.0;15.6;5432.0;40.7;;;334600000.0;105400000;72700000.0;18300000;92.10000000000001;
2018;2018 T2;T2;2018-04-01;2018-06-30;2.9;5083;7516;24703;31221;466;785.0;13.8;5273.0;33.2;;977695;388700000.0;119400000;87000000.0;27900000;87.7;
2019;2019 T4;T4;2019-10-01;2019-12-31;3.88;4293;4639;27434;29877;625;699.0;11.6;4981.0;30.9;;8045782;328000000.0;112800000;77000000.0;34400000;88.4;
2020;2020 T1;T1;2020-01-01;2020-03-31;4.52;3030;2900;21608;29577;506;606.0;13.0;4651.0;36.2;;8474130;260500000.0;94800000;64300000.0;28000000;89.60000000000001;
2017;2017 T1;T1;2017-01-01;2017-03-31;2.59;1731;3656;27149;31169;326;802.0;14.5;5455.0;37.1;;;399700000.0;128000000;87800000.0;25900000;88.7;
2021;2021 T2;T2;2021-04-01;2021-06-30;5.72;5959;6957;16214;29065;163;613.0;12.7;5201.0;37.8;1807;10282314;216100000.0;74500000;54100000.0;25800000;89.7;https://cdn.paris.fr/paris/2021/11/26/1d8e1d06a72c527240d5b9aecd96d9b8.pdf
2023;2023T4;T4;2023-10-01;2023-12-31;;;;20892;28225;659;542.0;10.6;4782.0;32.9;2307;10814583;378000000.0;130400000;56200000.0;35600000;87.3;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel_deplacements_136.pdf
2015;2015 T2;T2;2015-04-01;2015-06-30;3.07;;;28674;34394;381;854.705882352941;14.5;5538.0;35.7;;;390800000.0;122300000;87500000.0;25800000;91.0;
2017;2017 T2;T2;2017-04-01;2017-06-30;3.19;4180;7161;25191;30812;406;819.0;14.0;5281.0;33.2;;;383800000.0;124600000;85600000.0;26400000;87.3;
2019;2019 T2;T2;2019-04-01;2019-06-30;3.47;6025;7500;22784;32293;677;676.0;11.7;5160.0;34.3;;5184661;406700000.0;134100000;78400000.0;34800000;85.7;
2016;2016 T2;T2;2016-04-01;2016-06-30;3.47;;;28199;32263;437;847.0;14.5;5442.0;34.5;;;393700000.0;126000000;89100000.0;27200000;91.7;
2024;2024T2;T2;2024-04-01;2024-06-30;;;;17102;27477;653;490.0;10.1;4937.0;36.1;2633;12260514;370400000.0;128800000;59600000.0;37100000;89.0;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_n138.pdf
2014;2014 T4;T4;2014-10-01;2014-12-31;2.77;;;35795;35029;320;847.058823529412;14.6;5510.0;36.4;;;408000000.0;125600000;87600000.0;24600000;87.6;
2014;2014 T1;T1;2014-01-01;2014-03-31;2.51;;;32376;37155;242;858.235294117647;16.0;5652.0;41.5;;;391900000.0;121500000;89400000.0;23300000;92.80000000000001;
2016;2016 T1;T1;2016-01-01;2016-03-31;2.67;;;30517;32841;348;831.764705882353;15.4;5545.0;37.4;;;392700000.0;124500000;88800000.0;26300000;92.7;
2018;2018 T3;T3;2018-07-01;2018-09-30;2.68;5445;7625;20442;31685;507;697.0;14.7;5284.0;39.9;;2300270;351100000.0;108600000;73500000.0;24000000;86.1;
2017;2017 T4;T4;2017-10-01;2017-12-31;3.15;2884;4169;28253;30571;337;789.0;13.6;5273.0;33.9;;;411200000.0;133400000;86700000.0;27900000;87.4;
2015;2015 T1;T1;2015-01-01;2015-03-31;2.38;;;30182;34484;253;824.117647058824;15.5;5609.0;40.3;;;387500000.0;119500000;87300000.0;24900000;91.8;
2014;2014 T2;T2;2014-04-01;2014-06-30;2.85;;;30695;35595;405;881.764705882353;14.9;5597.0;36.7;;;389200000.0;119700000;89000000.0;23600000;91.60000000000001;
2020;2020 T3;T3;2020-07-01;2020-09-30;6.52;6278;6487;17738;29793;288;615.0;13.6;5238.0;39.2;2175;13343782;224900000.0;74000000;58000000.0;20100000;88.2;
2011;2011 T4;T4;2011-10-01;2011-12-31;2.38;;;37100;39000;276;961.764705882353;15.0;5612.0;37.6;;;404000000.0;124000000;92100000.0;10800000;95.5;
2020;2020 T4;T4;2020-10-01;2020-12-31;5.46;3978;4511;14855;30054;102;585.0;13.1;5148.0;39.8;1447;8891597;189800000.0;67099999;52300000.0;22900000;90.9;
2021;2021 T4;T4;2021-10-01;2021-12-31;5.56;4898;4963;23030;29804;475;613.0;11.7;4906.0;33.3;1805;9111895;335700000.0;113000000;62200000.0;30300000;88.4;https://cdn.paris.fr/paris/2022/04/15/ea8157484cbd27e87b85bc4b8d96a064.pdf
2023;2023T2;T2;2023-04-01;2023-06-30;;;;19813;28594;862;694.0;10.9;4809.0;31.6;2503;12175272;366200000.0;126800000;59200000.0;35600000;86.5;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel-134.pdf
2011;2011 T3;T3;2011-07-01;2011-09-30;2.82;;;26900;38300;413;868.235294117647;15.9;5608.0;43.2;;;335500000.0;105300000;78800000.0;8140000;96.1;
2013;2013 T1;T1;2013-01-01;2013-03-31;2.04;;;33070;38195;266;921.176470588235;15.5;5566.0;40.2;;;394700000.0;120200000;81200000.0;19240000;94.0;
2016;2016 T4;T4;2016-10-01;2016-12-31;3.14;;;29410;31670;378;835.0;14.2;5325.0;34.3;;;397700000.0;125800000;87500000.0;25900000;90.9;
2022;2022 T2;T2;2022-04-01;2022-06-30;5.24;7583;7960;20221;29275;572;613.0;12.1;4925.0;32.7;2228;11650421;345000000.0;119700000;63500000.0;32300000;88.5;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel_130.pdf
2022;2022 T3;T3;2022-07-01;2022-09-30;;5521;7167;17494;28899;674;560.0;12.9;4849.0;38.8;2092;11065568;313000000.0;107000000;50700000.0;29000000;81.5;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel_131_Web.pdf
2023;2023 T1;T1;2023-01-01;2023-03-31;;5426;5168;20136;28866;593;564.0;11.9;4947.0;34.8;2188;10067292;347400000.0;120300000;55400000.0;35300000;88.6;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel_133.pdf
2011;2011 T2;T2;2011-04-01;2011-06-30;2.55;;;33400;39200;439;969.411764705882;15.2;5685.0;37.6;;;392700000.0;119700000;96200000.0;10300000;95.19999999999999;
2014;2014 T3;T3;2014-07-01;2014-09-30;2.76;;;26004;34580;391;797.647058823529;15.5;5470.0;41.0;;;337000000.0;107200000;75500000.0;19900000;91.3;
2022;2022 T4;T4;2022-10-01;2022-12-31;;6507;6569;21104;29072;635;572.0;12.0;4867.0;34.4;2037;10761136;372800000.0;128200000;54800000.0;33200000;84.0;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel%20-132.pdf
2012;2012 T2;T2;2012-04-01;2012-06-30;2.44;;;31700;38428;444;965.294117647059;15.5;5657.0;37.1;;;388100000.0;119400000;88700000.0;9600000;94.39999999999999;
2012;2012 T4;T4;2012-10-01;2012-12-31;2.49;;;37789;38493;303;920.0;14.7;5567.0;37.4;;;413000000.0;126000000;89100000.0;11800000;93.5;
2013;2013 T2;T2;2013-04-01;2013-06-30;2.57;;;32473;37414;415;930.0;15.0;5634.0;35.8;;;388500000.0;120000000;83700000.0;20800000;92.80000000000001;
2016;2016 T3;T3;2016-07-01;2016-09-30;3.08;;;22243;31504;459;773.0;15.1;5243.0;37.6;;;334500000.0;102000000;75100000.0;22500000;91.0;
2018;2018 T1;T1;2018-01-01;2018-03-31;1.98;1838;3938;25723;30612;354;739.0;14.1;5275.0;38.7;;453187;407900000.0;133199999;85300000.0;27400000;89.1;
2019;2019 T3;T3;2019-07-01;2019-09-30;3.63;6254;7444;19609;31828;775;638.0;13.2;5171.0;39.1;;7008196;358700000.0;115300000;69700000.0;30200000;86.5;
2020;2020 T2;T2;2020-04-01;2020-06-30;5.5;8421;10444;8806;28978;11;469.0;14.5;4230.0;48.1;;8025386;78100000.0;27700000;32900000.0;12900000;89.9;
2013;2013 T4;T4;2013-10-01;2013-12-31;2.57;;;36038;37291;286;880.0;14.7;5519.0;36.3;;;405700000.0;123100000;87100000.0;22400000;92.7;
2015;2015 T3;T3;2015-07-01;2015-09-30;2.85;;;23065;33544;398;759.411764705882;15.4;5373.0;40.3;;;343600000.0;103700000;73700000.0;20500000;90.7;
2018;2018 T4;T4;2018-10-01;2018-12-31;3.31;3789;4625;25337;32385;438;743.0;13.2;5244.0;34.2;;3412534;411900000.0;135400000;83300000.0;31400000;87.0;
2019;2019 T1;T1;2019-01-01;2019-03-31;2.65;3746;5880;23502;32408;565;707.0;13.3;5274.0;36.0;;3721442;404300000.0;134400000;79600000.0;34800000;88.7;
2021;2021 T3;T3;2021-07-01;2021-09-30;5.54;7690;8833;19605;29351;489;579.0;13.1;5017.0;39.0;1903;10246026;265500000.0;86900000;55700000.0;24600000;88.8;https://cdn.paris.fr/paris/2022/02/04/fc1249e1388f6f6dbf1e6ddb0329f12e.pdf
2022;2022 T1;T1;2022-01-01;2022-03-31;3.93;4541;5650;19019;29385;430;597.0;12.8;5033.0;37.7;1594;8613268;308600000.0;105700000;59600000.0;30900000;90.6;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel_129.pdf
2015;2015 T4;T4;2015-10-01;2015-12-31;2.6;;;30213;34033;316;842.352941176471;14.7;5445.0;35.7;;;398000000.0;123600000;88100000.0;25700000;90.8;
2024;2024T1;T1;2024-01-01;2024-03-31;;;;18769;27705;614;519.0;10.7;4911.0;37.1;2145;9810569;372000000.0;130400000;59600000.0;35400000;89.4;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel-137.pdf
2011;2011 T1;T1;2011-01-01;2011-03-31;1.8;;;36100;39600;246;940.588235294118;16.3;5787.0;41.9;;;392000000.0;120000000;93800000.0;10400000;95.7;
2017;2017 T3;T3;2017-07-01;2017-09-30;3.44;4077;7196;21795;30469;403;712.0;14.6;5176.0;38.7;;;344000000.0;106500000;72900000.0;23400000;86.1;
2021;2021 T1;T1;2021-01-01;2021-03-31;5.22;3810;4831;14635;29138;62;595.0;12.9;5124.0;39.8;1275;7590110;198000000.0;67400000;50000000.0;23800000;91.10000000000001;https://cdn.paris.fr/paris/2021/10/04/8fdcf856616c834bf11f93e5961206ff.pdf
2023;2023T3;T3;2023-07-01;2023-09-30;;;;16641;28179;820;514.0;11.9;4724.0;36.5;2350;11615136;319900000.0;110200000;49600000.0;28200000;84.1;https://eu.ftp.opendatasoft.com/parisdata-dvd/AM/Bulletin_trimestriel-135.pdf
